"ticker","year","month","day","open","high","low","close","volume","ex.dividend","split_ratio","adj_open","adj_high","adj_low","adj_close","adj_volume","date","change","delta"
"GOOGL",2004,8,19,100.01,104.06,95.96,100.335,44659000,0,1,50.15984,52.19111,48.12857,50.32284,44659000,"2004-8-19",0,7.97500000000001
"GOOGL",2004,8,20,101.01,109.08,100.5,108.31,22834300,0,1,50.66139,54.70888,50.4056,54.32269,22834300,"2004-8-20",1,1.09
"GOOGL",2004,8,23,110.76,113.48,109.05,109.4,18256100,0,1,55.55148,56.91569,54.69383,54.86938,18256100,"2004-8-23",1,-4.53
"GOOGL",2004,8,24,111.24,111.6,103.57,104.87,15247300,0,1,55.79223,55.97278,51.94535,52.59736,15247300,"2004-8-24",0,1.13
"GOOGL",2004,8,25,104.76,108,103.88,106,9188600,0,1,52.54219,54.16721,52.10083,53.16411,9188600,"2004-8-25",1,1.91
"GOOGL",2004,8,26,104.95,107.95,104.66,107.91,7094800,0,1,52.63749,54.14213,52.49204,54.12207,7094800,"2004-8-26",1,-1.75999999999999
"GOOGL",2004,8,27,108.1,108.62,105.69,106.15,6211700,0,1,54.21736,54.47817,53.00863,53.23934,6211700,"2004-8-27",0,-4.14
"GOOGL",2004,8,30,105.28,105.49,102.01,102.01,5196700,0,1,52.803,52.90832,51.16294,51.16294,5196700,"2004-8-30",0,0.359999999999999
"GOOGL",2004,8,31,102.32,103.71,102.16,102.37,4917800,0,1,51.31842,52.01557,51.23817,51.34349,4917800,"2004-8-31",1,-2.12
"GOOGL",2004,9,1,102.7,102.97,99.67,100.25,9138200,0,1,51.509,51.64442,49.98931,50.28021,9138200,"2004-9-1",0,1.26000000000001
"GOOGL",2004,9,2,99.09,102.37,98.94,101.51,15118600,0,1,49.69841,51.34349,49.62318,50.91216,15118600,"2004-9-2",1,-1.5
"GOOGL",2004,9,3,100.95,101.74,99.32,100.01,5152400,0,1,50.63129,51.02752,49.81377,50.15984,5152400,"2004-9-3",0,1.56999999999999
"GOOGL",2004,9,7,101.01,102,99.61,101.58,5847500,0,1,50.66139,51.15792,49.95922,50.94727,5847500,"2004-9-7",1,0.719999999999999
"GOOGL",2004,9,8,100.74,103.03,100.5,102.3,4985600,0,1,50.52597,51.67451,50.4056,51.30838,4985600,"2004-9-8",1,0.0100000000000051
"GOOGL",2004,9,9,102.5,102.71,101,102.31,4061700,0,1,51.40869,51.51402,50.65637,51.3134,4061700,"2004-9-9",1,3.02
"GOOGL",2004,9,10,101.47,106.56,101.3,105.33,8698800,0,1,50.8921,53.44498,50.80684,52.82808,8698800,"2004-9-10",1,2.17
"GOOGL",2004,9,13,106.63,108.41,106.46,107.5,7844100,0,1,53.48009,54.37284,53.39482,53.91643,7844100,"2004-9-13",1,3.98999999999999
"GOOGL",2004,9,14,107.44,112,106.79,111.49,10828900,0,1,53.88634,56.1734,53.56034,55.91761,10828900,"2004-9-14",1,0.510000000000005
"GOOGL",2004,9,15,110.56,114.23,110.2,112,10713000,0,1,55.45117,57.29185,55.27062,56.1734,10713000,"2004-9-15",1,1.97
"GOOGL",2004,9,16,112.34,115.8,111.65,113.97,9266300,0,1,56.34393,58.07929,55.99786,57.16145,9266300,"2004-9-16",1,3.52
"GOOGL",2004,9,17,114.42,117.49,113.55,117.49,9472500,0,1,57.38715,58.9269,56.9508,58.9269,9472500,"2004-9-17",1,1.87
"GOOGL",2004,9,20,116.95,121.6,116.77,119.36,10628700,0,1,58.65607,60.98826,58.56579,59.8648,10628700,"2004-9-20",1,-1.52
"GOOGL",2004,9,21,120.2,120.42,117.51,117.84,7228700,0,1,60.2861,60.39644,58.93693,59.10244,7228700,"2004-9-21",0,0.539999999999992
"GOOGL",2004,9,22,117.45,119.67,116.81,118.38,7581200,0,1,58.90684,60.02028,58.58585,59.37328,7581200,"2004-9-22",1,2.44
