"ticker","year","month","day","open","high","low","close","volume","ex.dividend","split_ratio","adj_open","adj_high","adj_low","adj_close","adj_volume","date","change","delta"
"HON",1970,1,2,24.63,25.5,24.63,25.12,13500,0,1,2.885423,2.987344,2.885423,2.942827,54000,"1970-1-2",0,0.879999999999999
"HON",1970,1,5,25.38,26,25.38,26,27700,0,1,2.973286,3.04592,2.973286,3.04592,110800,"1970-1-5",1,0
"HON",1970,1,6,26,26.5,25.75,26,22200,0,1,3.04592,3.104495,3.016632,3.04592,88800,"1970-1-6",1,-0.120000000000001
"HON",1970,1,7,26,26.37,25.88,25.88,16200,0,1,3.04592,3.089266,3.031862,3.031862,64800,"1970-1-7",0,0.620000000000001
"HON",1970,1,8,26,26.5,26,26.5,14100,0,1,3.04592,3.104495,3.04592,3.104495,56400,"1970-1-8",1,-0.25
"HON",1970,1,9,26.5,26.62,26,26.25,18900,0,1,3.104495,3.118553,3.04592,3.075207,75600,"1970-1-9",0,-0.120000000000001
"HON",1970,1,12,26.25,26.25,25.88,26.13,14200,0,1,3.075207,3.075207,3.031862,3.061149,56800,"1970-1-12",0,-0.879999999999999
"HON",1970,1,13,26.13,26.13,25.25,25.25,26200,0,1,3.061149,3.061149,2.958057,2.958057,104800,"1970-1-13",0,0.629999999999999
"HON",1970,1,14,25.25,25.88,25.25,25.88,11200,0,1,2.958057,3.031862,2.958057,3.031862,44800,"1970-1-14",1,-0.629999999999999
"HON",1970,1,15,25.62,25.62,25.12,25.25,16500,0,1,3.001403,3.001403,2.942827,2.958057,66000,"1970-1-15",0,0
"HON",1970,1,16,25.25,25.62,25,25.25,11100,0,1,2.958057,3.001403,2.928769,2.958057,44400,"1970-1-16",1,0.129999999999999
"HON",1970,1,19,25.25,25.62,25,25.38,10800,0,1,2.958057,3.001403,2.928769,2.973286,43200,"1970-1-19",1,-0.129999999999999
"HON",1970,1,20,25.38,25.5,24.75,25.25,12300,0,1,2.973286,2.987344,2.899481,2.958057,49200,"1970-1-20",0,2
"HON",1970,1,21,25.5,28,25.5,27.25,35100,0,1,2.987344,3.280221,2.987344,3.192358,140400,"1970-1-21",1,-0.879999999999999
"HON",1970,1,22,27.25,27.5,26.25,26.37,38500,0,1,3.192358,3.221646,3.075207,3.089266,154000,"1970-1-22",0,-0.490000000000002
"HON",1970,1,23,26.37,26.5,25.75,25.88,15300,0,1,3.089266,3.104495,3.016632,3.031862,61200,"1970-1-23",0,-0.879999999999999
"HON",1970,1,26,25.75,25.75,24.5,25,23400,0,1,3.016632,3.016632,2.870194,2.928769,93600,"1970-1-26",0,0
"HON",1970,1,27,25,25,24.38,25,13500,0,1,2.928769,2.928769,2.856136,2.928769,54000,"1970-1-27",1,-1.25
"HON",1970,1,28,24.75,24.75,23.75,23.75,26500,0,1,2.899481,2.899481,2.782331,2.782331,106000,"1970-1-28",0,-0.379999999999999
"HON",1970,1,29,23.62,23.62,22.88,23.37,55000,0,1,2.767101,2.767101,2.680409,2.737813,220000,"1970-1-29",0,0.129999999999999
"HON",1970,1,30,23.37,23.5,23,23.5,40600,0,1,2.737813,2.753043,2.694468,2.753043,162400,"1970-1-30",1,0.25
"HON",1970,2,2,23.5,23.75,23.25,23.75,33000,0,1,2.753043,2.782331,2.723755,2.782331,132000,"1970-2-2",1,0.25
"HON",1970,2,3,23.75,24,23.13,24,34800,0,1,2.782331,2.811618,2.709697,2.811618,139200,"1970-2-3",1,-0.629999999999999
"HON",1970,2,4,24,24,23,23.37,36900,0,1,2.811618,2.811618,2.694468,2.737813,147600,"1970-2-4",0,-0.370000000000001
"HON",1970,2,5,23.37,23.37,22.88,23,19000,0,1,2.737813,2.737813,2.680409,2.694468,76000,"1970-2-5",0,0
"HON",1970,2,6,23,23.13,22.75,23,27400,0,1,2.694468,2.709697,2.66518,2.694468,109600,"1970-2-6",1,0
"HON",1970,2,9,23,23,22.75,23,29800,0,1,2.694468,2.694468,2.66518,2.694468,119200,"1970-2-9",1,0
"HON",1970,2,10,23,23,22.75,23,15600,0,1,2.694468,2.694468,2.66518,2.694468,62400,"1970-2-10",1,0.25
"HON",1970,2,11,23,23.25,22.88,23.25,18700,0,1,2.694468,2.723755,2.680409,2.723755,74800,"1970-2-11",1,-0.25
"HON",1970,2,12,23.25,23.25,22.88,23,16800,0,1,2.723755,2.723755,2.680409,2.694468,67200,"1970-2-12",0,0
"HON",1970,2,13,23,23.25,22.88,23,12000,0,1,2.694468,2.723755,2.680409,2.694468,48000,"1970-2-13",1,0.129999999999999
"HON",1970,2,16,23,23.13,22.75,23.13,17100,0,1,2.694468,2.709697,2.66518,2.709697,68400,"1970-2-16",1,-0.629999999999999
"HON",1970,2,17,23,23,22.5,22.5,20700,0,1,2.694468,2.694468,2.635892,2.635892,82800,"1970-2-17",0,0.25
"HON",1970,2,18,22.62,23.13,22.62,22.75,20100,0,1,2.64995,2.709697,2.64995,2.66518,80400,"1970-2-18",1,-0.129999999999999
"HON",1970,2,19,22.75,23.25,22.62,22.62,25600,0,1,2.66518,2.723755,2.64995,2.64995,102400,"1970-2-19",0,0.259999999999998
"HON",1970,2,20,22.75,23.5,22.75,22.88,45000,0,1,2.66518,2.753043,2.66518,2.680409,180000,"1970-2-20",1,0.120000000000001
"HON",1970,2,24,22.88,23.13,22.88,23,39900,0,1,2.680409,2.709697,2.680409,2.694468,159600,"1970-2-24",1,0
"HON",1970,2,25,23,23.25,22.75,23,48100,0,1,2.694468,2.723755,2.66518,2.694468,192400,"1970-2-25",1,-0.120000000000001
"HON",1970,2,26,23,23.13,22.75,22.88,45900,0,1,2.694468,2.709697,2.66518,2.680409,183600,"1970-2-26",0,0.620000000000001
"HON",1970,2,27,22.88,24,22.62,23.5,53100,0,1,2.680409,2.811618,2.64995,2.753043,212400,"1970-2-27",1,0.5
"HON",1970,3,2,23.75,24.63,23.75,24,50400,0,1,2.782331,2.885423,2.782331,2.811618,201600,"1970-3-2",1,0.629999999999999
"HON",1970,3,3,24,24.63,23.75,24.63,29700,0,1,2.811618,2.885423,2.782331,2.885423,118800,"1970-3-3",1,0.120000000000001
"HON",1970,3,4,24.63,25.12,24.5,24.75,39300,0,1,2.885423,2.942827,2.870194,2.899481,157200,"1970-3-4",1,-0.120000000000001
"HON",1970,3,5,24.75,25,24.38,24.63,25800,0,1,2.899481,2.928769,2.856136,2.885423,103200,"1970-3-5",0,-0.509999999999998
"HON",1970,3,6,24.63,24.75,24,24.12,19300,0,1,2.885423,2.899481,2.811618,2.825676,77200,"1970-3-6",0,-0.120000000000001
"HON",1970,3,9,24.12,24.25,23.88,24,16000,0,1,2.825676,2.840906,2.79756,2.811618,64000,"1970-3-9",0,0.25
"HON",1970,3,10,24,24.38,23.88,24.25,9400,0,1,2.811618,2.856136,2.79756,2.840906,37600,"1970-3-10",1,-0.129999999999999
"HON",1970,3,11,24.25,24.38,24.12,24.12,13900,0,1,2.840906,2.856136,2.825676,2.825676,55600,"1970-3-11",0,-0.240000000000002
"HON",1970,3,12,24.12,24.12,23.75,23.88,13200,0,1,2.825676,2.825676,2.782331,2.79756,52800,"1970-3-12",0,0.240000000000002
"HON",1970,3,13,23.88,24.12,23.62,24.12,14100,0,1,2.79756,2.825676,2.767101,2.825676,56400,"1970-3-13",1,-0.240000000000002
"HON",1970,3,16,24.12,24.25,23.5,23.88,12300,0,1,2.825676,2.840906,2.753043,2.79756,49200,"1970-3-16",0,0
"HON",1970,3,17,23.88,24,23.5,23.88,13900,0,1,2.79756,2.811618,2.753043,2.79756,55600,"1970-3-17",1,-0.129999999999999
"HON",1970,3,18,23.88,24.38,23.5,23.75,48000,0,1,2.79756,2.856136,2.753043,2.782331,192000,"1970-3-18",0,-0.25
"HON",1970,3,19,23.75,23.75,23.25,23.5,13900,0,1,2.782331,2.782331,2.723755,2.753043,55600,"1970-3-19",0,0
"HON",1970,3,20,23.5,23.62,23,23.5,43800,0,1,2.753043,2.767101,2.694468,2.753043,175200,"1970-3-20",1,-0.129999999999999
"HON",1970,3,23,23.5,23.75,23.25,23.37,12000,0,1,2.753043,2.782331,2.723755,2.737813,48000,"1970-3-23",0,0.509999999999998
"HON",1970,3,24,23.5,23.88,23.5,23.88,11800,0,1,2.753043,2.79756,2.753043,2.79756,47200,"1970-3-24",1,0.370000000000001
"HON",1970,3,25,23.88,24.38,23.62,24.25,41500,0,1,2.79756,2.856136,2.767101,2.840906,166000,"1970-3-25",1,0
"HON",1970,3,26,24.25,24.38,24,24.25,21700,0,1,2.840906,2.856136,2.811618,2.840906,86800,"1970-3-26",1,-0.25
"HON",1970,3,30,24.25,24.5,23.88,24,20500,0,1,2.840906,2.870194,2.79756,2.811618,82000,"1970-3-30",0,-0.25
"HON",1970,3,31,24,24.12,23.75,23.75,16500,0,1,2.811618,2.825676,2.782331,2.782331,66000,"1970-3-31",0,0.25
"HON",1970,4,1,23.88,24.25,23.88,24,18000,0,1,2.79756,2.840906,2.79756,2.811618,72000,"1970-4-1",1,-0.120000000000001
"HON",1970,4,2,24,24.25,23.88,23.88,26800,0,1,2.811618,2.840906,2.79756,2.79756,107200,"1970-4-2",0,0.240000000000002
"HON",1970,4,3,23.88,24.12,23.62,24.12,45900,0,1,2.79756,2.825676,2.767101,2.825676,183600,"1970-4-3",1,-0.370000000000001
"HON",1970,4,6,24.12,24.25,23.75,23.75,29500,0,1,2.825676,2.840906,2.782331,2.782331,118000,"1970-4-6",0,0.370000000000001
"HON",1970,4,7,23.75,24.12,23.62,24.12,18600,0,1,2.782331,2.825676,2.767101,2.825676,74400,"1970-4-7",1,-0.240000000000002
"HON",1970,4,8,24.12,24.12,23.88,23.88,10000,0,1,2.825676,2.825676,2.79756,2.79756,40000,"1970-4-8",0,-0.129999999999999
"HON",1970,4,9,23.88,24,23.62,23.75,10200,0,1,2.79756,2.811618,2.767101,2.782331,40800,"1970-4-9",0,-0.5
"HON",1970,4,10,23.62,23.62,23.25,23.25,29700,0,1,2.767101,2.767101,2.723755,2.723755,118800,"1970-4-10",0,0.120000000000001
"HON",1970,4,13,23.25,23.5,23,23.37,35400,0,1,2.723755,2.753043,2.694468,2.737813,141600,"1970-4-13",1,-0.120000000000001
"HON",1970,4,14,23.37,23.5,22.75,23.25,31900,0,1,2.737813,2.753043,2.66518,2.723755,127600,"1970-4-14",0,-0.120000000000001
"HON",1970,4,15,23.25,23.62,23,23.13,9600,0,1,2.723755,2.767101,2.694468,2.709697,38400,"1970-4-15",0,-1.5
"HON",1970,4,16,23.13,23.37,21.63,21.63,38200,0,1,2.709697,2.737813,2.533971,2.533971,152800,"1970-4-16",0,-0.629999999999999
"HON",1970,4,17,21.12,21.12,20.25,21,62100,0,1,2.474224,2.474224,2.372303,2.460166,248400,"1970-4-17",0,-0.25
"HON",1970,4,20,21,21.5,20.62,20.75,27400,0,1,2.460166,2.518741,2.415649,2.430878,109600,"1970-4-20",0,-0.129999999999999
"HON",1970,4,21,20.75,21.25,20.62,20.62,19800,0,1,2.430878,2.489454,2.415649,2.415649,79200,"1970-4-21",0,0.129999999999999
"HON",1970,4,22,20.62,21,20.62,20.75,19800,0,1,2.415649,2.460166,2.415649,2.430878,79200,"1970-4-22",1,0
"HON",1970,4,23,20.75,20.75,20.25,20.75,23800,0,1,2.430878,2.430878,2.372303,2.430878,95200,"1970-4-23",1,-0.129999999999999
"HON",1970,4,24,20.75,21,20.5,20.62,24600,0,1,2.430878,2.460166,2.401591,2.415649,98400,"1970-4-24",0,0.129999999999999
"HON",1970,4,27,21,21,20.37,20.75,18000,0,1,2.460166,2.460166,2.386361,2.430878,72000,"1970-4-27",1,-0.870000000000001
"HON",1970,4,28,20.37,20.37,19.75,19.88,62100,0,1,2.386361,2.386361,2.313728,2.328957,248400,"1970-4-28",0,1.12
"HON",1970,4,29,20,21,20,21,24600,0,1,2.343015,2.460166,2.343015,2.460166,98400,"1970-4-29",1,-0.5
"HON",1970,4,30,21,21.25,20,20.5,32500,0,1,2.460166,2.489454,2.343015,2.401591,130000,"1970-4-30",0,-0.5
"HON",1970,5,1,20.5,20.62,20,20,28300,0,1,2.401591,2.415649,2.343015,2.343015,113200,"1970-5-1",0,-0.379999999999999
"HON",1970,5,4,20,20.37,19.5,19.62,19000,0,1,2.343015,2.386361,2.28444,2.298498,76000,"1970-5-4",0,-0.120000000000001
"HON",1970,5,5,19.62,20,19.5,19.5,16800,0,1,2.298498,2.343015,2.28444,2.28444,67200,"1970-5-5",0,0
"HON",1970,5,6,19.5,20.13,19.12,19.5,39700,0,1,2.28444,2.358245,2.239923,2.28444,158800,"1970-5-6",1,-0.25
"HON",1970,5,7,19.5,19.62,19,19.25,38800,0,1,2.28444,2.298498,2.225864,2.255152,155200,"1970-5-7",0,-0.25
"HON",1970,5,8,19.25,19.5,18.75,19,24900,0,1,2.255152,2.28444,2.196577,2.225864,99600,"1970-5-8",0,-0.370000000000001
"HON",1970,5,11,19,19.25,18,18.63,212200,0,1,2.225864,2.255152,2.108714,2.182519,848800,"1970-5-11",0,-0.129999999999999
"HON",1970,5,12,18.63,18.87,17.88,18.5,51400,0,1,2.182519,2.210635,2.094656,2.167289,205600,"1970-5-12",0,-0.25
"HON",1970,5,13,18.5,18.5,18,18.25,43300,0,1,2.167289,2.167289,2.108714,2.138001,173200,"1970-5-13",0,-0.25
"HON",1970,5,14,18.25,18.25,17.75,18,36300,0,1,2.138001,2.138001,2.079426,2.108714,145200,"1970-5-14",0,0.25
"HON",1970,5,15,18,18.38,17.88,18.25,50700,0,1,2.108714,2.153231,2.094656,2.138001,202800,"1970-5-15",1,0
"HON",1970,5,18,18.25,18.63,18,18.25,31000,0,1,2.138001,2.182519,2.108714,2.138001,124000,"1970-5-18",1,-0.75
"HON",1970,5,19,18.25,18.25,17.5,17.5,27100,0,1,2.138001,2.138001,2.050138,2.050138,108400,"1970-5-19",0,-0.5
"HON",1970,5,20,17.5,17.75,16.75,17,37000,0,1,2.050138,2.079426,1.962275,1.991563,148000,"1970-5-20",0,0.5
"HON",1970,5,21,17,17.5,16.75,17.5,32700,0,1,1.991563,2.050138,1.962275,2.050138,130800,"1970-5-21",1,-0.129999999999999
"HON",1970,5,22,17.5,17.62,17.13,17.37,21900,0,1,2.050138,2.064196,2.006793,2.034909,87600,"1970-5-22",0,-1.25
